off	sire	dam	sexe
IF2014008151	IOLR.DL.SEM0..2017.14	IF2011001207	U
IF2014008152	IOLR.DL.SEM0..2017.15	IF2011001249	U
IF2014008153	IOLR.DL.SEM0..2017.1	#1	U
IF2014008154	IOLR.DL.SEM0..2017.12	IF2011001280	M
IF2014008155	IOLR.DL.SEM0..2017.9	IF2011001179	M
IF2014008156	BMC.DL.NEM0..2017.15	IF2011001020	M
IF2014008157	*2	IF2011001179	F
IF2014008159	IOLR.DL.SEM0..2017.20	IF2011001179	F
IF2014008160	BMC.DL.NEM0..2017.29	IF2011001135	F
IF2014008161	IOLR.DL.SEM0..2017.15	IF2011001249	U
IF2014008162	100849	IF2011001109	F
IF2014008163	BMC.DL.NEM0..2017.9	IF2011001179	U
IF2014008164	SEM4	IF2011001249	U
IF2014008165	IOLR.DL.SEM0..2017.9	IF2011001135	F
IF2014008166	IOLR.DL.SEM0..2017.1	IF2011001102	F
IF2014008167	IOLR.DL.SEM0..2017.11	IF2011001486	F
IF2014008168	205882	IF2011001109	M
IF2014008169	NEM11	IF2011001249	U
IF2014008170	101770	IF2011001070	M
IF2014008171	IOLR.DL.SEM0..2017.19	IF2011001135	U
IF2014008172	IOLR.DL.SEM0..2017.11	IF2011001207	U
IF2014008173	IOLR.DL.SEM0..2017.18	IF2011001135	U
IF2014008174	208678	IF2011001109	M
IF2014008175	IOLR.DL.SEM0..2017.5	IF2011001249	U
IF2014008176	IOLR.DL.SEM0..2017.3	IF2011001179	M
IF2014008177	110855	IF2011001109	F
IF2014008178	BMC.DL.NEM0..2017.4	IF2011001005	U
IF2014008179	BMC.DL.NEM0..2017.6	IF2011001135	U
IF2014008180	*4	IF2011001135	F
IF2014008181	BMC.DL.NEM0..2017.15	IF2011001135	F
IF2014008182	IOLR.DL.SEM0..2017.15	IF2011001179	M
IF2014008184	IOLR.DL.SEM0..2017.12	IF2011001179	F
